match_id,over_number,Batsman_team,Batsman_name,batting_style,Bowler_team,Bowler_name,Bowling_style,Run_scored,Wicket_type,Wicket,Extras,Extra,Shot_area,Ball_line,Ball_length
1,6,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Rashid Khan","right arm spin",1,NULL,0,NULL,0,"leg side",In-wicket,"Good Length"
1,7,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ehsan Khan","Right arm spin",2,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,7,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ehsan Khan","Right arm spin",1,NULL,0,NULL,0,"leg side","Leg Stump","Good Length"
1,7,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ehsan Khan","Right arm spin",0,NULL,0,"Leg Bye",1,"fine leg","Leg Stump","Good Length"
1,7,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ehsan Khan","Right arm spin",0,NULL,0,NULL,0,"leg side",In-wicket,"Good Length"
1,7,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ehsan Khan","Right arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,7,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Ehsan Khan","Right arm spin",1,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,7,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,7,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,7,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",1,NULL,0,NULL,0,"long off",In-wicket,"Full Length"
1,7,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",1,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,7,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",0,NULL,0,NULL,0,miss,"Leg Stump","Full Length"
1,7,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",0,NULL,0,NULL,0,"leg side","Leg Stump","Good Length"
1,8,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",4,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,8,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",1,NULL,0,NULL,0,"long off",In-wicket,"Full Length"
1,8,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,8,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",1,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,8,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",4,NULL,0,NULL,0,"third man","Outside Off","Short Length"
1,8,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",0,NULL,0,Wide,1,miss,"Wide Line","Short Length"
1,8,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Aizaz Khan","Right arm Fast",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,8,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Rashid Khan","right arm spin",1,NULL,0,NULL,0,"leg side",In-wicket,"Good Length"
1,8,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Rashid Khan","right arm spin",6,NULL,0,NULL,0,"long off","Outside Off","Full Length"
1,8,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Rashid Khan","right arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,8,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Rashid Khan","right arm spin",1,NULL,0,NULL,0,"leg side",In-wicket,"Good Length"
1,8,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Rashid Khan","right arm spin",1,NULL,0,NULL,0,"leg side",In-wicket,"Full Length"
1,8,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Rashid Khan","right arm spin",1,NULL,0,NULL,0,"long off",In-wicket,"Good Length"
1,9,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Yasim Murtaza","left arm spin",1,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,9,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Yasim Murtaza","left arm spin",1,NULL,0,NULL,0,"off side",In-wicket,"Good Length"
1,9,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Yasim Murtaza","left arm spin",0,NULL,0,NULL,0,"off side",In-wicket,"Good Length"
1,9,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Yasim Murtaza","left arm spin",0,NULL,0,Wide,1,miss,"Wide Line","Short Length"
1,9,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Yasim Murtaza","left arm spin",1,NULL,0,NULL,0,"long on","Outside Off","Full Length"
1,9,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Yasim Murtaza","left arm spin",1,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,9,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Yasim Murtaza","left arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,9,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,9,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,9,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",1,NULL,0,NULL,0,"off side","Leg Stump","Good Length"
1,9,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",2,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,9,"Hong Kong","Kinchit Shah","left hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",0,Caught,1,NULL,0,"leg side","Outside Off","Good Length"
1,9,"Hong Kong","Yasim Murtaza","left hand Bat",Afghanistan,"Noor Ahmad","Left arm spin",0,NULL,0,NULL,0,"leg side","Outside Off","Good Length"
1,10,Afghanistan,"Mohammad Nabi","Right hand Bat","Hong Kong","Kinchit Shah","Right arm spin",0,Caught,1,NULL,0,"long off","Outside Off","Good Length"
1,10,Afghanistan,"Gulbadin Naib","Right hand Bat","Hong Kong","Kinchit Shah","Right arm spin",2,NULL,0,NULL,0,"long on","Leg Stump","Full Length"
1,10,Afghanistan,"Gulbadin Naib","Right hand Bat","Hong Kong","Kinchit Shah","Right arm spin",1,NULL,0,NULL,0,"leg side","Leg Stump","Good Length"
1,10,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Kinchit Shah","Right arm spin",2,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,10,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Kinchit Shah","Right arm spin",1,NULL,0,NULL,0,"leg side","Outside Off","Good Length"
1,10,Afghanistan,"Gulbadin Naib","Right hand Bat","Hong Kong","Kinchit Shah","Right arm spin",0,NULL,0,NULL,0,"off side","Leg Stump","Full Length"
1,10,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Gulbadin Naib","Right arm fast",0,NULL,0,NULL,0,miss,"Leg Stump","Full Length"
1,10,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Gulbadin Naib","Right arm fast",1,NULL,0,NULL,0,"long off","Outside Off",Yorker
1,10,"Hong Kong","Yasim Murtaza","left hand Bat",Afghanistan,"Gulbadin Naib","Right arm fast",0,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,10,"Hong Kong","Yasim Murtaza","left hand Bat",Afghanistan,"Gulbadin Naib","Right arm fast",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,10,"Hong Kong","Yasim Murtaza","left hand Bat",Afghanistan,"Gulbadin Naib","Right arm fast",0,NULL,0,NULL,0,miss,"Outside Off","Good Length"
1,10,"Hong Kong","Yasim Murtaza","left hand Bat",Afghanistan,"Gulbadin Naib","Right arm fast",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,11,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Yasim Murtaza","left arm spin",1,NULL,0,NULL,0,"leg side","Outside Off","Good Length"
1,11,Afghanistan,"Gulbadin Naib","Right hand Bat","Hong Kong","Yasim Murtaza","left arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,11,Afghanistan,"Gulbadin Naib","Right hand Bat","Hong Kong","Yasim Murtaza","left arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,11,Afghanistan,"Gulbadin Naib","Right hand Bat","Hong Kong","Yasim Murtaza","left arm spin",1,NULL,0,NULL,0,"leg side","Leg Stump","Short Length"
1,11,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Yasim Murtaza","left arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,11,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Yasim Murtaza","left arm spin",1,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,11,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Karim Janat","Right arm fast",0,NULL,0,NULL,0,"leg side","Outside Off","Good Length"
1,11,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Karim Janat","Right arm fast",6,NULL,0,NULL,0,"long off","Outside Off","Short Length"
1,11,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Karim Janat","Right arm fast",1,NULL,0,NULL,0,"long off","Outside Off","Good Length"
1,11,"Hong Kong","Yasim Murtaza","left hand Bat",Afghanistan,"Karim Janat","Right arm fast",1,NULL,0,NULL,0,"leg side","Outside Off","Good Length"
1,11,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Karim Janat","Right arm fast",6,NULL,0,NULL,0,"long off","Outside Off","Good Length"
1,11,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Karim Janat","Right arm fast",2,NULL,0,NULL,0,"long off","Outside Off","Full Length"
1,12,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Kinchit Shah","Right arm spin",0,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,12,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Kinchit Shah","Right arm spin",1,NULL,0,NULL,0,"long off","Outside Off","Good Length"
1,12,Afghanistan,"Gulbadin Naib","Right hand Bat","Hong Kong","Kinchit Shah","Right arm spin",1,NULL,0,NULL,0,"long on","Outside Off","Short Length"
1,12,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Kinchit Shah","Right arm spin",6,NULL,0,NULL,0,"leg side",In-wicket,"Short Length"
1,12,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Kinchit Shah","Right arm spin",1,NULL,0,NULL,0,"long off","Outside Off","Full Length"
1,12,Afghanistan,"Gulbadin Naib","Right hand Bat","Hong Kong","Kinchit Shah","Right arm spin",0,Caught,1,NULL,0,"off side","Outside Off","Good Length"
1,12,"Hong Kong","Yasim Murtaza","left hand Bat",Afghanistan,"Gulbadin Naib","Right arm fast",1,NULL,0,NULL,0,"leg side","Outside Off","Good Length"
